Model,Train R2,Test R2,Train MAE,Test MAE,Train RMSE,Test RMSE
K-Nearest Neighbors (KNN),0.8892132894653387,0.8636685424995008,145.77248888888886,164.92577777777774,186.8775599640229,209.20116117516417
Multivariable Linear Regression,0.8766246468359966,0.8767180206204508,156.46361721850914,159.31943201350825,197.20936086750413,198.9371313792566
Support Vector Regressor (SVR),0.8705331363318671,0.8703840850596887,157.77693013885033,160.96063340708014,202.0191943658551,203.9835834028188
Decision Tree Regressor,0.8970095437673237,0.8626348294131341,139.35623881999322,165.19589808167885,180.1821696657224,209.99278183371055
Random Forest Regressor,0.921515863790273,0.8785121512970642,123.02197988205363,157.13609640422084,157.29114090514634,197.48425353387572
